# s_m,x_m,y_m,psi_rad,kappa_radpm,w_tr_right_m,w_tr_left_m
12.81138625,-7.63526441,7.98345132,2.78255718,-0.00000008,6.00000000,6.00000000
12.91147521,-7.72897131,8.01861971,2.78255719,0.00000009,6.00000000,6.00000000
13.01156416,-7.82267821,8.05378810,2.78255720,0.00000017,6.00000000,6.00000000
13.11165312,-7.91638511,8.08895649,2.78255722,0.00000016,6.00000000,6.00000000
13.21174207,-8.01009201,8.12412488,2.78255723,0.00000011,6.00000000,6.00000000
13.31183103,-8.10379891,8.15929327,2.78255724,0.00000006,6.00000000,6.00000000
13.41191998,-8.19750582,8.19446166,2.78255725,0.00000000,6.00000000,6.00000000
13.51200894,-8.29121272,8.22963004,2.78255724,-0.00000004,6.00000000,6.00000000
13.61209789,-8.38491962,8.26479843,2.78255724,-0.00000005,6.00000000,6.00000000
13.71218685,-8.47862652,8.29996682,2.78255723,-0.00000004,6.00000000,6.00000000
13.81227580,-8.57233342,8.33513521,2.78255723,-0.00000002,6.00000000,6.00000000
13.91236476,-8.66604032,8.37030360,2.78255723,-0.00000001,6.00000000,6.00000000
14.01245371,-8.75974722,8.40547199,2.78255723,0.00000000,6.00000000,6.00000000
14.11254267,-8.85345413,8.44064038,2.78255723,0.00000001,6.00000000,6.00000000
14.21263163,-8.94716103,8.47580876,2.78255723,0.00000001,6.00000000,6.00000000
14.31272058,-9.04086793,8.51097715,2.78255723,0.00000001,6.00000000,6.00000000
14.41280954,-9.13457483,8.54614554,2.78255723,0.00000000,6.00000000,6.00000000
14.51289849,-9.22828173,8.58131393,2.78255723,0.00000000,6.00000000,6.00000000
14.61298745,-9.32198863,8.61648232,2.78255723,-0.00000000,6.00000000,6.00000000
14.71307640,-9.41569553,8.65165071,2.78255723,-0.00000000,6.00000000,6.00000000
14.81316536,-9.50940244,8.68681910,2.78255723,-0.00000000,6.00000000,6.00000000
14.91325431,-9.60310934,8.72198748,2.78255723,-0.00000000,6.00000000,6.00000000
15.01334327,-9.69681624,8.75715587,2.78255723,-0.00000000,6.00000000,6.00000000
15.11343222,-9.79052314,8.79232426,2.78255723,0.00000000,6.00000000,6.00000000
15.21352118,-9.88423004,8.82749265,2.78255723,0.00000000,6.00000000,6.00000000
15.31361013,-9.97793694,8.86266104,2.78255723,0.00000000,6.00000000,6.00000000
15.41369909,-10.07164384,8.89782943,2.78255723,0.00000000,6.00000000,6.00000000
15.51378804,-10.16535075,8.93299782,2.78255723,0.00000000,6.00000000,6.00000000
15.61387700,-10.25905765,8.96816621,2.78255723,0.00000000,6.00000000,6.00000000
15.71396595,-10.35276455,9.00333459,2.78255723,-0.00000000,6.00000000,6.00000000
15.81405491,-10.44647145,9.03850298,2.78255723,-0.00000000,6.00000000,6.00000000
15.91414386,-10.54017835,9.07367137,2.78255723,-0.00000000,6.00000000,6.00000000
16.01423282,-10.63388525,9.10883976,2.78255723,-0.00000000,6.00000000,6.00000000
16.11432177,-10.72759215,9.14400815,2.78255723,0.00000000,6.00000000,6.00000000
16.21441073,-10.82129906,9.17917654,2.78255723,0.00000000,6.00000000,6.00000000
16.31449968,-10.91500596,9.21434493,2.78255723,0.00000000,6.00000000,6.00000000
16.41458864,-11.00871286,9.24951331,2.78255723,0.00000000,6.00000000,6.00000000
